id,release_id,recording_id,medium_id,number,last_updated,last_updated_by
2f577db8-a469-4034-a8d0-f06eb68dfe49,897445de-7754-4b7d-9230-cddc69fb2594,0b5253bf-dca2-4d1d-a1ff-381122d85e86,NULL,1,2010-10-01,testdataloader
86c670da-7e0f-4682-be58-48bcb15d393b,897445de-7754-4b7d-9230-cddc69fb2594,c5a6b083-e1ac-4a15-95ae-42132fa8f1b6,NULL,2,2010-10-01,testdataloader
07da3017-21e4-43a4-854d-4329413a8b50,897445de-7754-4b7d-9230-cddc69fb2594,b43e6427-7958-47e8-a36a-377922023863,NULL,3,2010-10-01,testdataloader
374ea435-c932-4712-97ff-f30aa2e7a754,897445de-7754-4b7d-9230-cddc69fb2594,afc68c9e-b638-4b7c-a840-2d5af1efbffc,NULL,4,2010-10-01,testdataloader
0d563588-20f2-47e4-bb99-432c11597b93,897445de-7754-4b7d-9230-cddc69fb2594,f3021383-edbe-4fb8-9413-9a3612e8f8ae,NULL,5,2010-10-01,testdataloader
f36a9464-884a-40bb-a951-111d7f333e51,897445de-7754-4b7d-9230-cddc69fb2594,a8a0fbc1-4920-4159-9179-7a73f83578cc,NULL,6,2010-10-01,testdataloader
45e2b320-8b15-448f-921a-7e8968c08fa5,897445de-7754-4b7d-9230-cddc69fb2594,63914519-c947-49c9-b4fc-35b2aca82ed4,NULL,6,2010-10-01,testdataloader
1f97fe7f-dfb1-4bb3-a58d-1d83520bca39,897445de-7754-4b7d-9230-cddc69fb2594,996a32db-3cba-4974-9e83-b7c71373f468,NULL,6,2010-10-01,testdataloader
a0d97017-d9aa-42b4-b684-bab3289d6da2,897445de-7754-4b7d-9230-cddc69fb2594,cd4f7775-faa2-42e5-9aa9-9c41f9535e1e,NULL,6,2010-10-01,testdataloader
8733b80f-4e99-46cc-a938-c88fb6ef0dd2,897445de-7754-4b7d-9230-cddc69fb2594,bc036641-8818-4e24-9567-c5ed78ad5522,NULL,6,2010-10-01,testdataloader
